	sample_id	synthesis_type	target_plug_aspect	specifier	solver	plug_aspect	stomatal_aspect	resistance	stomatal_flux_grad	bottom_flux_grad	mesophyll_flux_grad	mesophyll_flux_sol	curved_flux_grad	top_flux_grad	total_flux_grad	substomatal_mean	top_mean	mesophyll_mean	mesophyll_var	airspace_mean	airspace_var	transport	plug_area	curved_area	mesophyll_area	stomatal_area	stomatal_area_fraction	mesophyll_area_fraction	porosity	assimilation_substomatal	assimilation_mesophyll_mean
66	00058	mixed	0,2	3	diffusion	0,19511897058660613	0,04	1,7146351709438998	0,021762281087935806	0,005276278175552215	5,239426190808747e-05	0,0	5,8413948239893586e-05	-0,027746012598790705	-0,000596645125154382	0,8000000000001559	0,4000000000000802	0,5392941417237979	0,00590496365690972	0,5362674933572344	0,006730337429730114	0,0	0,11893572263832523	1,224754814181353	1,1694055352146042	0,004997986884610706	0,042022588115172226	9,832248119185186	0,8920853813983455	0,0	0,0
67	00058	mixed	0,2	3	photoactive	0,19511897058660613	0,04	0,9245117799474936	0,005961612023573963	0,0014454287587354648	-0,007288333950754973	0,007620936067793225	1,6094511550622054e-06	-7,056620660814932e-07	0,0001196106206434524	0,8000000000000699	0,7289166530154234	0,7407608999836109	0,00011041256746818477	0,7409279415725607	0,00013224824601709278	0,32038044999190834	0,11893572263832523	1,224754814181353	1,1694055352146042	0,004997986884610706	0,042022588115172226	9,832248119185186	0,8920853813983455	0,008325500584684259	0,007620936067793769
68	00058	mixed	0,2	4	diffusion	0,19511897058660613	0,05	1,571148790064073	0,02441979527682425	0,005232431280404709	-7,972231382104136e-06	0,0	3,318798755659589e-05	-0,030279938702302157	-0,0006024963888984807	0,8000000000001037	0,40000000000005215	0,5520553870332935	0,007034356793307082	0,5487618336012209	0,008015538965771242	0,0	0,11893572263832548	1,2247536351799997	1,1694055352145827	0,007824718974249155	0,06578947687603943	9,832248119184984	0,8920548676029438	0,0	0,0
69	00058	mixed	0,2	4	photoactive	0,19511897058660613	0,05	0,7810019853750104	0,006209792916557724	0,0013301351628845343	-0,007399841435535713	0,007722381088489303	-5,927702673149944e-06	-2,6250528537980887e-07	0,00013389643594799748	0,7999999999999831	0,7372909705142017	0,7492902987584731	0,00011325568490833714	0,7494622121270106	0,00013545846126969914	0,32464514937920813	0,11893572263832548	1,2247536351799997	1,1694055352145827	0,007824718974249155	0,06578947687603943	9,832248119184984	0,8920548676029438	0,008325500584683464	0,007722381088489688
70	00070	mixed	0,1	0	diffusion	0,10082086645585815	0,0	1,6128924052037055	0,007890481891313837	0,0	4,173555767842085e-05	0,0	-1,53848197226159e-05	-0,007875578089650916	4,125453961881253e-05	0,8000000000001485	0,4000000000000662	0,599676260202838	0,013314944773779312	0,628080906077394	0,012658014331173544	0,0	0,03175615021846014	0,6329267710654136	0,3004438886334268	0,03190854572535886	1,0047989288956736	9,460966980146605	0,7616195242458023	0,0	0,0
71	00070	mixed	0,1	0	photoactive	0,10082086645585815	0,0	0,5352320978758964	0,002109566337786426	0,0	-0,0020623276272860127	0,0021099967182881727	-1,8335732138779042e-05	-3,868869426324386e-07	2,851609141902122e-05	0,8000000000000049	0,7470948140772404	0,7644371889454036	0,00023165329210250572	0,7683906116773441	0,0002631911767095018	0,3322185944727117	0,03175615021846014	0,6329267710654136	0,3004438886334268	0,03190854572535886	1,0047989288956736	9,460966980146605	0,7616195242458023	0,0022229305152922595	0,0021099967182881796
72	00070	mixed	0,1	1	diffusion	0,10082086645585815	0,02	1,8967922147013858	0,004661202451058272	0,00190847486471708	3,0042912751428684e-05	0,0	6,44753732003205e-05	-0,006696811590078469	-3,261598835134203e-05	0,7999999999999258	0,39999999999996355	0,5699023055461252	0,009665908180515768	0,5939735941676211	0,009173163196721635	0,0	0,03175615021846012	0,6329012953946409	0,3004438886334343	0,0012282216650363169	0,038676654965636895	9,460966980146846	0,7614419507145618	0,0	0,0
73	00070	mixed	0,1	1	photoactive	0,10082086645585815	0,02	0,8175658362558941	0,0014277173436008175	0,000584125585533887	-0,0020014522051960866	0,002054926726530638	-8,17063716096987e-06	-2,1040760547985426e-07	2,0096791721747046e-06	0,8000000000001534	0,7301700742458541	0,747095668837115	0,00022202599666869892	0,7509262740668061	0,00025116308719200095	0,32354783441880614	0,03175615021846012	0,6329012953946409	0,3004438886334343	0,0012282216650363169	0,038676654965636895	9,460966980146846	0,7614419507145618	0,0022229305152926364	0,0020549267265306333
74	00070	mixed	0,1	2	diffusion	0,10082086645585815	0,03	1,7707106806953843	0,005237616520279873	0,0016600183871852611	1,6042999976820973e-05	0,0	2,767716975830292e-05	-0,007173650797881356	-0,00023229572068115452	0,8000000000002164	0,4000000000001085	0,5819769142470042	0,01108580746972931	0,6077767776205305	0,010522559156230333	0,0	0,031756150218460136	0,6329087041731486	0,30044388863343374	0,0027999932721644197	0,08817168494614182	9,460966980146825	0,761498741015835	0,0	0,0
75	00070	mixed	0,1	2	photoactive	0,10082086645585815	0,03	0,691868229920106	0,0015153093629350959	0,00047989286367424876	-0,0020346410439777687	0,0020790852145662615	-1,110615064200545e-05	-3,8641056413683347e-07	-5,0931378574578706e-05	0,7999999999998706	0,7375836815044333	0,7547031678158851	0,00022697088064295488	0,7585820005478924	0,00025684209496402787	0,32735158390772523	0,031756150218460136	0,6329087041731486	0,30044388863343374	0,0027999932721644197	0,08817168494614182	9,460966980146825	0,761498741015835	0,0022229305152917747	0,002079085214566272
