	species	PFT	L	porosity	An	Ca	Ci	Cistar	gs	tortuosity	mu_eff	mu_eff_err16	mu_eff_err84	gamma_eff	gamma_eff_err16	gamma_eff_err84
1305	Podocarpus alpinus	evergreen gymnosperms	393,9	0,223	7,38	400,0	270,5263157894737	40,485	0,057	1,57	0,04596821269396684	0,0019481392125140704	0,0024479050921197495	0,0776748885952544	0,015144652830659203	0,017931872359343945
1306	Podocarpus alpinus	evergreen gymnosperms	393,9	0,223	7,38	400,0	270,5263157894737	40,485	0,057	1,57	0,045989641054560264	0,0019113062989113416	0,0023930043781127397	0,0778342985110988	0,014818985529340634	0,017528570645111805
1310	Podocarpus nivalis	evergreen gymnosperms	376,3	0,26	6,86	400,0	279,64912280701753	40,485	0,057	1,57	0,03331261186355292	0,0016163867128410406	0,0017730544519349023	0,06404073774551763	0,012262446837238157	0,013332889560313033
1311	Podocarpus nivalis	evergreen gymnosperms	376,3	0,26	6,86	400,0	279,64912280701753	40,485	0,057	1,57	0,033340352498601844	0,0015540106621409339	0,0015762208395425983	0,06424858589894075	0,011770255596539055	0,011844229514293259
1363	Populus tremula	deciduous angiosperms	194,6	0,303	27,73	360,0	245,3	40,485	0,242	1,57	0,07246376497177695	0,0031774806760068164	0,0035630997380321217	0,12127760362011471	0,02328234557763778	0,024777762088649027
1398	Prunus persica	deciduous angiosperms	160,0	0,46	30,1	346,0	207,8	40,485	0,32	1,57	0,04007140167177094	0,0023166364066696463	0,0023114119590375085	0,08703139520195899	0,01723607671577851	0,0175926799599653
1399	Prunus persica	deciduous angiosperms	115,0	0,6	16,2	380,0	252,0	40,485	0,1265625	1,57	0,011547704350978148	0,0003989621447409563	0,0004588171789580934	0,018960404956354086	0,003456425443498624	0,003647281628362104
1413	Psilotum nudum	ferns	295,2	0,15	2,06	400,0	105,71428571428572	40,485	0,007	1,57	0,049844609947819474	0,01039695049670402	0,029828512518916453	0,010802813037374707	0,0017713860674011782	0,002039290249930572
1414	Psilotum nudum	ferns	295,2	0,15	2,06	400,0	105,71428571428572	40,485	0,007	1,57	0,05028929450905527	0,011215423084209752	0,034930559418810334	0,010749579634257118	0,0018667192941129243	0,002215171839883418
1416	Pteridium aquilinum	ferns	139,51682704811446	0,396	10,2	400,0	269,6	40,485	0,07822085889570553	1,57	0,01233873998089203	0,0004912894682968395	0,0005810754277833126	0,021455267233431528	0,0040749677183732624	0,004555486276904757
1428	Quercus agrifolia	evergreen angiosperms	171,0	0,27	7,6	400,0	343,7037037037037	40,485	0,135	1,57	0,012490976418080758	0,0009710282280972014	0,001069205550447868	0,06650852291063888	0,012010229033851731	0,014448109082304025
1436	Quercus chrysolepis	evergreen angiosperms	242,0	0,19	13,7	400,0	323,8888888888889	40,485	0,18	1,57	0,05024546089816603	0,0035068734937749035	0,004050249553482349	0,1782734300817666	0,03131949742812626	0,038839452192510865
1437	Quercus coccifera	evergreen angiosperms	195,0	0,14	12,4	400,0	312,0	40,485	0,243	1,57	0,045612516915043574	0,004092186983608234	0,003951356547240513	0,2648839152139779	0,05200215445126327	0,05476834124977298
1438	Quercus coccifera	evergreen angiosperms	278,0	0,08	11,2	400,0	328,6624203821656	40,485	0,157	1,57	0,11718271963803983	0,008790882691812524	0,010128615621506909	0,4236947155471087	0,07337779013128715	0,09005743675199673
1441	Quercus faginea	deciduous angiosperms	186,0	0,21	19,6	400,0	293,0	40,485	0,408	1,57	0,04503615242967102	0,003716004814134616	0,004448274548735337	0,27772177063349124	0,04979524794650486	0,06513083926683283
1470	Quercus ilex	evergreen angiosperms	240,0	0,11	7,12	400,0	325,0526315789474	40,485	0,095	1,57	0,044252703522758896	0,003496508936441177	0,003376991817526591	0,1607615591380856	0,0317791054280154	0,033091676645705836
1471	Quercus ilex	evergreen angiosperms	221,0	0,09	11,55	400,0	326,4331210191083	40,485	0,157	1,57	0,08307966165769312	0,006078067403406884	0,006665521510734712	0,29600252043030073	0,05226474149813484	0,06124410012680298
1472	Quercus ilex	evergreen angiosperms	214,0	0,06	10,15	400,0	285,9550561797753	40,485	0,089	1,57	0,1291471980981707	0,007657431160023792	0,008169748224755358	0,24519123624808747	0,048495556156182174	0,05184221568923658
1473	Quercus ilex	evergreen angiosperms	239,0	0,11	8,0	400,0	320,7920792079208	40,485	0,101	1,57	0,0506442929885797	0,003796813348945237	0,0039865549642757875	0,1708449188974635	0,03278757307909286	0,036982905082407896
1474	Quercus ilex	evergreen angiosperms	277,0	0,07	6,45	400,0	324,11764705882354	40,485	0,085	1,57	0,0753557267362309	0,005943537696000298	0,006163244233588855	0,2631128907926915	0,050783695054489486	0,05651829204579101
1475	Quercus ilex	evergreen angiosperms	291,0	0,07	15,5	400,0	307,18562874251495	40,485	0,167	1,57	0,23172665999181452	0,017109649056177234	0,018873097540281714	0,5434661571150834	0,09822070522928583	0,11179737754065233
1476	Quercus ilex	evergreen angiosperms	236,0	0,2	10,17	400,0	275,9756097560976	40,485	0,082	1,57	0,04116164805085584	0,0017573752539893558	0,0021198776600418814	0,07478771405404941	0,01328208821416315	0,01564265756032407
1477	Quercus ilex	evergreen angiosperms	276,0	0,18	15,33	400,0	301,0967741935484	40,485	0,155	1,57	0,07564943168372543	0,005078339822782163	0,004605531161280568	0,18693851418346705	0,036642929775899225	0,03465564716597727
1478	Quercus ilex	evergreen angiosperms	291,0	0,07	16,46	400,0	320,09708737864077	40,485	0,206	1,57	0,23520449818804756	0,019781780261795084	0,018200049093188286	0,6685426220632822	0,12461715610249302	0,11931532331909012
1495	Quercus robur	deciduous angiosperms	140,0	0,16	12,9	400,0	288,0	40,485	0,158	1,57	0,03268414137750726	0,002282070611668987	0,002371694284073231	0,10833825089706112	0,02000318721543924	0,022277549910001776
1505	Quercus suber	evergreen angiosperms	200,0	0,1	15,6	400,0	308,2352941176471	40,485	0,17	1,57	0,09935971692477236	0,0067349184865269085	0,007320548067887733	0,2629680828345726	0,04827908016779767	0,055140034658897163
1508	Quercus wislizeni	evergreen angiosperms	201,0	0,07	10,6	400,0	334,5679012345679	40,485	0,162	1,57	0,08720623057712704	0,006948723005974128	0,007921411041872176	0,3592795079131363	0,0654282440236531	0,08031988368533455
1555	Selaginella denticulata	fern allies	48,3	0,32	3,09	400,0	350,0	40,485	0,124	1,57	0,001084884779457947	9,692258656660317e-05	0,00010606073857245433	0,014568004959719123	0,0026755930826600997	0,003233864187776738
1556	Selaginella martensii	fern allies	31,2	0,3	3,69	400,0	299,0	40,485	0,03653465346534653	1,57	0,0011507429269465826	6,978213906527427e-05	6,897453254631094e-05	0,0029213149922289964	0,0005709786689767921	0,0005916696493917435
1557	Selaginella uncinata	fern allies	51,9	0,51	3,79	400,0	303,0	40,485	0,072	1,57	0,000979999504268495	7,633824951494409e-05	7,895455607552742e-05	0,005731535073874538	0,0010290600651314454	0,001162880898274962
1558	Selaginella uncinata	fern allies	20,6	0,3	3,52	400,0	232,38095238095238	40,485	0,021	1,57	0,0009828832325629766	7,34955393440304e-06	1,807066697876174e-05	0,0011348116866749143	0,00022097620117809654	0,0002255846125658054
1559	Selaginella uncinata	fern allies	20,6	0,3	3,52	400,0	232,38095238095238	40,485	0,021	1,57	0,0009821586368993817	6,720667077813984e-06	1,8259278241267987e-05	0,0011255203633935697	0,00021265661227952795	0,000225593123917358
